Writer	Rate	Date	Contents
Mythical R3	5	November 11, 2020	Honestly, I can't give this more than 1 star at the moment. Game won't even log into a server. Uninstaller and reinstalled and still stays at the main screen. Will update review if able to get into game. Update: Got in game. Game is great to play, granted intro is a little dry, but it gets you started on the story.
Hoang Van	1	November 11, 2020	Behind the times look at illusion connect if you want to make a gatcha in today's world. You can't squeeze every penny out of your gatcha rates and not give out a lot of tickets for free. I would rather pay $100 when it feels good and I can pull a lot. 🤦‍♂️ Do some research before your marketing team goes ham.
Mint Bush	4	November 11, 2020	Wow did not expect it to be like that at all👀.......... Good game though
Naruki Hatsumi	4	November 11, 2020	The graphics are kinda bad but the game is good so far
Smart Primo	5	November 11, 2020	This is way to good, the quality is so smooth on the characters
Zen Mastiff	5	November 11, 2020	Very early on but enjoying it a lot.
Kaptain Riversnapps	2	November 11, 2020	Obnoxiously long tutorial, piss poor animations, passable graphics, decent battle system. This thing was just quickly built to make money. Oh, and it's a Fate clone for some stupid reason. Couldn't come up with original characters I guess.
Carl Johnson	4	November 11, 2020	So far so good.
Brandon Krauch	5	November 11, 2020	Fun!!
Deku Midoria	5	November 11, 2020	its a great game so far keep up the good work
Reece Town XD	1	November 11, 2020	Turn based attacks ewww . Great graphics though I thought it'd be open world experience & battle like genshin impact.
SaberOfTheRed	5	November 11, 2020	Fun~
Fallonmoon	1	November 11, 2020	Not a f2p friendly game
Osyriss	5	November 11, 2020	So far it is very interesting and fun. The game is not pay to win, and the characters are very beautiful. Overall, it is a very great game.
Aryan Gupta	5	November 11, 2020	Waiting.....
ZombiePro gaming	5	November 11, 2020	Got the game to work and no more problems yet as for the people complaining about the pre-download you fools need to get some more brain cells because that is to let you download before the game is released that way you can play instantly when the game does release hence (Pre-) download lol. Game looks and feels amazing btw was definitely worth the wait thanks team.
Potato 3867	1	November 11, 2020	Trash p2w
Jesus Gaspar	5	November 11, 2020	This game is pretty good with the graphics. Also has easy control and fun so far.
bruisedknee123	5	November 11, 2020	Cool
Serban Nadine	5	November 11, 2020	So flipin amazing I'm just at the beginning and it's amazing!!I love it!!
Alex Enriquez	1	November 11, 2020	Lags,tutorial no skip,low rolls,to many currency's, easy uninstall for me.
cookie pup309	5	November 11, 2020	This is the first time i played a game for 38 minutes and still wanted to play more(im the type to get bored easy so i was suprised)Their are somethings i dont like about the game but it's not something you would see in a game like this a lot.
Azure Balmung	5	November 11, 2020	Very good graphics
Death ripper	5	November 11, 2020	Graet gmae play
Josh McDonald	4	November 11, 2020	Looking good so far.
Cody Hutchinson	5	November 11, 2020	Has been a lot of fun so far
Subtitle Killer	5	November 11, 2020	Can't login. Nice.
Sarun Thomason	4	November 11, 2020	This game is great for giveing me at least one ssr in my frist ten pull.
Sora Keyblade	5	November 11, 2020	THE BEST GAME EVER it's just like summoners war but 10 times better!!!!!!!!!
Remy Van Soest	5	November 11, 2020	Great Game with very Good Graphics and u can get new characters with Gasha style system. Pretty F2P so far as well.
Xd Night12	5	November 11, 2020	This game is asome
lBLu SilVz	5	November 11, 2020	So far about an hour in an im hooked. Characters look great, combats fun, an its literally war of the waifus lmao ENJOY!
Bryce McCurine	5	November 11, 2020	It is a great game and you get so much. Wish more games would be like this.
Emerson Enio	5	November 11, 2020	Muito bom.
Fall of Babel	5	November 11, 2020	Amazing animations! Every character seems to have a lot of personality to them. It's very nice to see so much effort put into a mobile game.
John Dela Rosa	5	November 11, 2020	Ok
Ludicrous ___	5	November 11, 2020	Pretty good so far
Jason Escobar	5	November 11, 2020	Nice
Stick Figure Zombies	1	November 11, 2020	Now I can say that this game was worth the wait and I see a lot of potential, keep it up. Dont lose interest please
Dorjon Ben Livingston	5	November 11, 2020	Well the game just started so far so good. Ill change my info after more game play
Ramon Rydell	1	November 11, 2020	Hard pass. I'm $4800 into the Chinese version but we cant convert our accounts to this one?even though EVERYTHING is EXACTLY the same...? Yeah, Goodluck with that.
Samantha Lynchard	3	November 11, 2020	Going fine so far.
Hayden Pullen	5	November 11, 2020	Good
Isaiah Garrett	5	November 11, 2020	So far so good
Jeff Cooper	1	November 11, 2020	They decided to bring the rate up banners using a different ticket to global, and yes I know you can get them from events, it's still not a good way to make your players happy.
Aaron Soto	5	November 11, 2020	This is an amazing game the visuals are beautiful and the story is great.
Fairy Jarry	5	November 11, 2020	Love it
Álisson Sales	4	November 11, 2020	So far so good, but having a 'premium' currency for chance up banner is not a very smart move...
Uvaldo Luna	5	November 11, 2020	Great game so far
Cb Parkin	4	November 11, 2020	Just started today and so far am pleased with how smooth the gameplay is.
NAW Daimondz	5	November 11, 2020	The game is amazing. Everything about this game is amazing. I suggest you play this game if you haven't tried it yet. 😁
Kira	4	November 11, 2020	So far so good. Graphics are of good quality; no lagging or plain out bad backgrounds etc. Controls are easy to use and you get the hang of it pretty quick. Seems to me there's quite the catch of fanservice, which can be a pro or con depending on the player. I was hoping to customize the protagonist to my liking, but that's just a minor and personal issue. Overall, it seems like a good game :)
L san	1	November 11, 2020	It's keeps shutting off everytime I try to enter the game 🙄 I don't know if it's because it came out not too long ago but um, I can't play soo I'm giving it 1 star. I'll switch this review if it begins to work. Edit: I did reinstall the game. It did nothing.
Сергей Изместьев	1	November 11, 2020	200mbit/s WiFi - failed connect to server....
Shawn Maple	5	November 11, 2020	Really fun game, I'm loving it so far.
EarlySnow	5	November 11, 2020	Beautiful art style with fantastic voice acting.
Stephan Zievinger	5	November 11, 2020	Heck great game. A bit legy though 👍
GOD TITAN	5	November 11, 2020	Its a really good game so far and im not saying that be nice i really like it
T S	4	November 11, 2020	Pretty graphics and fun turn based battle system. The story has not drawn me in by chapter 1. The gatcha is pretty standard gatcha with beautiful character design.
L 5h4dowW0lf L	5	November 11, 2020	So far excellent keep it up don't disappoint me
Stephanie Huskey	5	November 11, 2020	So far it is good. Only lvl 6 but the art is beautiful and story line is good too
david johnson	4	November 11, 2020	Pretty good
Deth StarZ	5	November 11, 2020	Many thanks for fixing the log in problem . The game is amazing
Mabrouk ghost07	1	November 11, 2020	pure p2w system where you acually summon good units with only money , this game had a bright future but gacha system yeah no thank you
sharat kumar	1	November 11, 2020	I only played for few minutes and I can already see how bad it is. First the text in text box is very small which makes it very hard to read. You start with a scene cut with ridiculous pacing and it feels like I am watching a yt video at 10x. Battle mechanics aren't something new, just your regular turn based slash and hash with skill animations being very long. It feels like no thought has been put on the story and feels like they just put it to fill in the holes.
molnar tivadar	5	November 11, 2020	Awesome game keep up the good work.
Nestor Gonzalez	5	November 11, 2020	Fun
Jaden Sorrows	5	November 11, 2020	Good graphics and easy to play
AnubratAnurag Chatterjee	5	November 11, 2020	I started playing this game for like thirty minutes and OMG, I'm blown away. This game takes RPG to another level. Easy to understand controls, really fun. They also gave me a 10x summon which granted me an SSR hero early on. This game was worth the wait. Love everyone who made this game, success ensured!!
Kendrick Ladd	5	November 11, 2020	Just started and Ive already put everything off for today love it...
Joseph Jauregui	5	November 11, 2020	Fresh breath Gacha, graphics nice. Like the take turn and skill animations. Looking forward to new Heros!
Elijahwaun Haynes-Jones	4	November 11, 2020	so far so good I'll keep yall posted
Krabbensaft	5	November 11, 2020	Brilliant
Pluscabelo Gamer	5	November 11, 2020	Muito bom o jogo
Dimension Destro	5	November 11, 2020	Great graphics. The story is amazing. There is also a wide variety of characters to obtain and level up.
Shuhham Ghugal	5	November 11, 2020	It's good
Abhi Raj	4	November 11, 2020	It's great
Christopher Franco	5	November 11, 2020	Super fun
Falling Angel	5	November 11, 2020	Nice to look at
Hekema	1	November 11, 2020	Savedata wiped. I have no idea how, but after logging in with Google, I played for an hour, closed the game and when I rebooted I had to start over?
Yvette Larsen	3	November 11, 2020	It's caught my attetion
Frédéric Côté	4	November 11, 2020	I could login with google once and play. Now I try to enter the game again and it doesnt work. It keeps trying to login to google over and over. Edit: I already tried switching and it does the same thing. I also saw another review with the same problem. Edit2: seems it's fixed now
Wes Walker	5	November 11, 2020	Really fun game
Stephen Abarilles	5	November 11, 2020	So far so good. Will update after a week of gameplay.
Miah Lopez	5	November 11, 2020	Great game so far, my only hope is that they give an option to skip the tutorial and have it be an almost book like thing where u can go IF you dont know something and possibly make it skippable for people who play these a lot
Trojan King	5	November 11, 2020	Just started the game so far, runs smooth, great graphic, game has potential 🤘
VivyDeBunny	4	November 11, 2020	I'll rate more accurate later
the gaming Fox	3	November 11, 2020	Its seems fun so far but the BIG PROBLEM is that i have to pay to summon on any banner but the main perminate banner there are 4 other banners i cant even buy tickets in shop for.
Alan Diep	5	November 11, 2020	Love the graphical worth the wait
Miguel Angel Jr	5	November 11, 2020	👍👍👍👍👍
RaSera DeTylmarande	5	November 11, 2020	Love the look and feel so far... need time to get more acquainted
ERIC COREANO	5	November 11, 2020	So far so good
BLUE	2	November 11, 2020	Only played about 15 minutes. Game seems functional. To be as kind as possible, there are just better games out there. Good effort.
Jesus Zuniga	5	November 11, 2020	Liking the game
Amos Huddleston	5	November 11, 2020	It very nice
Rommel Washington	5	November 11, 2020	Easy to learn
U.K.	4	November 11, 2020	So far so good 👌
Mark Powers	5	November 11, 2020	5 stars to make up for the ungrateful fools guving 1 star because of pre-load. Great game though. Nothing really new, but it runs smooth on my old phone and game flow is smooth and progressive.
Stormiesunny	4	November 11, 2020	This is a pretty damn good game. I'm so excited this is finally in fully english.
Randain Wright	5	November 11, 2020	Premium turn base RPG. So far it's fun, lets see what the end game has to offer.
Kag's gamin	3	November 11, 2020	so far its not bad
Michael Neiss	4	November 11, 2020	Fast pace game
Warbify	5	November 11, 2020	got my account back
Gordon	5	November 11, 2020	Have been playing a short time and it looks and plays very nicely.
Petr Herzog	4	November 11, 2020	Too early asking for review but game seems rly nice so far
Araragi Koyomi	5	November 11, 2020	For now, its really good game ... Nice looking animations ! :)
klown fate	5	November 11, 2020	To a good start great visulization
Curtis Patton	5	November 11, 2020	Love the game. It's so amazing!!!!
Lance Burrell	4	November 11, 2020	Just started and the graphic are nice just need a powerful phone for it. I will play more and give final review in a week.
anastasia robinson	5	November 11, 2020	Love the game so far just started playing since it finally released today great graphics and storyline, love the characters and gameplay look forward to seeing how the game continues to progress keep up the great work
MrTizzie	1	November 11, 2020	"Insanely greedy system, global only p2w ""features"""
Dark King	5	November 11, 2020	Game is Outstanding With everything Zlong really outdid themselves but in a good way KNOWING i got very good history with them when i played langrisser and my in game ChaosNyx in that GOGS graphics r AWESOME battles r crazy skill animation even joint special moves,voices r perfect gacha i got valkyrie i my first go HOPEFULLY Zlong doesn't get GREEDY if they do i wont support them but ill continue supporting them like i did with langrisser mobile i would highly recommend it u will love it
Robert B	5	November 11, 2020	Great
MuteSpittah	5	November 11, 2020	Wonderful game!
mlontajo	5	November 11, 2020	Nice good
Sky Knight	5	November 11, 2020	I'm still early in the game but it looks great, and the depth of gameplay definitely looks Ike it will keep an avid RPGer playing for countless hours.
Gabriel LaVedier	5	November 11, 2020	Works very well even on an older phone. Excellent graphics, good banter dialogue with fun takes on classic characters. Marco Polo is just too cute. Fun and enjoyable RPG.
Jordan Coggins	4	November 11, 2020	Huge langrisser fan so I'm biased. Characters are cool and I'm not far enough into the story before they ask for a review. Another hero collector but it's worth the download
sam colman	5	November 11, 2020	Nice so far
2brute 4you	5	November 11, 2020	Im enjoying the game so far. Keep up the good work
Michael Parondo	5	November 11, 2020	Awesome!
Krimson_ X	5	November 11, 2020	Perfect game
Samuel Acosta	4	November 11, 2020	Waiting to play. Playable in 13 hours and 16 minutes at the time of this post. Playing now... Its cool so far, still new to the game.
Jose Rios	4	November 11, 2020	The games pretty good so far i'm enjoying my experiencr
Legit	4	November 11, 2020	As of right now I'm enjoying the game. Sometimes I get fps drops but I understand the game just came out and I look forward to what's to come.
Sagar Sharma	5	November 11, 2020	Beautiful graphics, very smooth animations, characters are cute and detailed, interesting storyline, good so far. Need more heroes I guess
Dragon Fang7	5	November 11, 2020	Its a wonderful game! I love all the details that went into the characters!
Ernest Bell	5	November 11, 2020	Great game overall enjoyable
Archit Rawat	4	November 11, 2020	The graphics and background can be better.
Katherine Febres	5	November 11, 2020	Fun and enjoyable
William Lent	5	November 11, 2020	So far a very good game
toy of depression	5	November 11, 2020	"I can't even start the game, the game ignoring my tapping on ""tap to start"". I can't even log in to claim my 10x thing for playing before it's obt or whatever, sad thing UPD: ok so it's all good now, my problem was fixed very quickly and I finally could enjoy the game, the graphics is pretty good the same as the level of the effects and stuff, I enjoyed the process especially in opening and unlocking new gear and characters 12/10"
Caleb Quinn	3	November 11, 2020	Got the issue fixed so starting to play now impressed by the quick customer service will update after some play time
Michael Lougheed	5	November 11, 2020	This game is so much fun! The graphics are very cute and well done and the whole asthetic and story of the game is well done!
Xie He	4	November 11, 2020	Very nice graphics and story. Not 5* because it's another pay to win game obviously.
Noah Wilson	5	November 11, 2020	Nice game
Inor Crys	5	November 11, 2020	Beautiful graphics
GUSTAVO Bazo	5	November 11, 2020	Very fun
Abyssal Kaz	5	November 11, 2020	Love the game, especially when my phone is old as heck it barely skips any frames
nate Ward	3	November 11, 2020	The audio is some times choppy and I've already tried uninstalling and reinstalling the game, otherwise it seems fun
Megan Warner	5	November 11, 2020	This game is awesome
Kairo TheSunGod	5	November 11, 2020	I love the animation and progression system, the story line is amazing and I can't wait to see further updates.
Joshua Stephens	5	November 11, 2020	First summon on my own and I got bae I've wanted since the game was announced. I'm set in. This game is what Lord of Heroes wanted to be
Andrew Linton	5	November 11, 2020	I LOVE this game thus far!!!
David Suriel	5	November 11, 2020	Love the artwork and character design, combat system is also great with the assist and support system. Overall 2 thumbs up
Brad Adkins	5	November 11, 2020	Good story. Easy system.
John Colon	2	November 11, 2020	The game is ok if you could mary the hero you want.😕
Waymie Malone	5	November 11, 2020	Great game and graphics loving the game so far. Cant wait to see what else it offers
Branden Rivera	4	November 11, 2020	Its pretty decent as I play more ill come update this but smooth so far
Cj MadLife	4	November 11, 2020	Good game
Elijah Muhich	5	November 11, 2020	Great game so far
Malice Wolf	5	November 11, 2020	So far I really like the character designs the combat is simple turn-based and the graphics are pretty good I like it. :)
Draven Keach	5	November 11, 2020	It is like playing final fandesy
Net Tech	1	November 11, 2020	Can't create your own character, so you are stuck with the appearance and class of what they designed. Story seems similar to so many others but with minor changes. Takes forever to gain control from the intro tutorial.
The Noodle	2	November 11, 2020	I bought a pack that was supposed to give me 3 Genesis Tarrot cards, and Ive also collected rewards that were supposed to give me the same, but it still says I have 0 Gensis Tarrot cards. The game itself is good, but whats the point pf playing it if I cant get my rewards?
Planetmorgoth	5	November 11, 2020	Has child nudity!!! EDIT: on second thought maybe its ok!???
Israel Rojas	5	November 11, 2020	So far so good just started got plenty of benefits from what I can understand. Also game play is smooth, the story is captivating n humorous, n the anime like graphics,art is gorgeous. The cache system is well designed for you'll be capable of raising a low tier to a high tier character. So if you're looking for something new give this one a chance.
Joshua Multon	5	November 11, 2020	Just started kinda dope
Kristopher Pelgrave	4	November 11, 2020	Barely started playing but seems good so far
Dakota Marshall-Brown	5	November 11, 2020	I love the game, but I did want to point out that in act 1, Cupid glitches a lot when she is speaking. In the scene she has nothing in her hands when moving, but you would see appearances of her silver tray that she holds pop up randomly in the shots when it shouldn't be there.
Oscar Ramos	3	November 11, 2020	Decent game love the characters. Graphics r good hope there's more customizing in later updates
Edwin Ayala	5	November 11, 2020	Im loveing it
spoodermun	5	November 11, 2020	Its good
BlueSkyAngeluz	5	November 11, 2020	Fantastic game, still has its issues like the choppy sounds in cutscenes but these will get fixed over time. So far, loving it.
Bradley West	5	November 11, 2020	Great
Manuel Varela	5	November 11, 2020	I love where the story is going.
ImposterFlame	5	November 11, 2020	This fun j really like it and it is smooth
B Bochenek	3	November 11, 2020	We will see
James Milan	5	November 11, 2020	Awesome gatcha! Some of my favs are here. This may drop if the system is unbalanced but i haven't seen such yet. Going to put work into some of the lower starred characters to make them top tier. That will tell me if it is balanced or not. Much love though so far
Mike Larwy	5	November 11, 2020	Awesome game to play
Wiz Gi	4	November 11, 2020	Its fun
Vinicius Mello	1	November 11, 2020	"The classic ""if I make nice looking game can I get way with everything?"". The awful you can only-click-one-place tutorial, lag and the skip that gives you hope but only skip a little bit. How do you expect me to like the game if my experience is: skip, click here no other option allowed, fight easy scenario with tons of mob no aoe or auto. Repeat this 100x."
David Chavez	5	November 11, 2020	So far I love it
PussySlayer 9000	5	November 11, 2020	Its lit
SilverFire King	5	November 11, 2020	This game is AWESOME!!!!
Undead Moss	5	November 11, 2020	Amazing
Bonnie Moyer	4	November 11, 2020	So far so good
William Parker	5	November 11, 2020	Great so far
Nelson Roman	5	November 11, 2020	I luv the game but for some reason the animation for attacks or special attacks dnt show n needs to be fixed. I really like the game I would love it more if the animation for using skills was fixed
Thomas Gabby	4	November 11, 2020	"Very colorful, story lines are kind of cheesy and overall, kind of an Okay game. I am only in the game about 1 hour in, so i cant say for certain how the game pans out,but it does scratch that ""I am bored"" itch."
Gregory Linsinbigler	5	November 11, 2020	A beautiful game
Peach Swaggn	5	November 11, 2020	Yes I Loved It ❤️💪👍💯😛😜😁😊😯👊😍🤩
Asuna Yuuki	5	November 11, 2020	An amazing game
Quang Lam	1	November 11, 2020	while i like the gameplay and the characters, the way the servers are implemented reminds me of other games where they have initial servers, then release new servers, and then more servers, and even more servers. the initial servers then die off and all the work you put in to those servers is wasted. ill keep playing this for a bit but im definitely going to quit once those other servers are released
Nasir Brewer	4	November 11, 2020	Great game nice story and isnt super tedious with upgrades and things as for what I've seen theres only one issue whenever cupid's onscreen during the story a plate or whatever it is she holds flashes across the screen at random
T S	5	November 11, 2020	Why not
Michael French Sr	5	November 11, 2020	Awesome!
xtimertx cronos	4	November 11, 2020	Those who have gave bad ratings just gave up and didn't try so they need to stfu
Jesus Morales	2	November 11, 2020	Is very buggy i installed it and already buggy come on and well graphics are a bit dissapointing i will keep my eye on this game for any updates it may have
Thomas Rice	3	November 11, 2020	Don't know yet. It asked me way to early if I like it. Move the rating suggestion at least after chapter 1. I played the Intro and it's asking me if I like it. I don't know yet
J.P 1981	4	November 11, 2020	Started an hour ago and I already like the gameplay. Hopefully the story turns out good as well.
Kevin Child	1	November 11, 2020	Literally unplayable on my Galaxy S10+. Go to log in, and a pop up text bar with no text shows up briefly, then goes away. Tried to log in under all the options, even Guest, but to no avail. Will reinstall and see if that fixes it, but if not, will keep at one star...since I have a recent phone that should be able to play it, but can't. Edit: re-installed, tried everything like before, still the same result. Shame, game looked fun.
Jerry Martinez	5	November 11, 2020	Great graphics
Ultra Dodongo	5	November 11, 2020	Haven't played much yet but has been enjoyable so far. I dislike the cheap packs to get you to spend money right off the bat.
Mohammed Jassim	5	November 11, 2020	Cool game
Broken Machine	5	November 11, 2020	Honest at first I wasn't expecting this game to be as good as it is already I really enjoy it
Autumn Haskell	5	November 11, 2020	Super fun so far! Will update later w/more detail 💞
Casper Fang	3	November 11, 2020	Meh. Underwhelming
Alan Stewart	4	November 11, 2020	I'm liking it so far, the graphics are really nice, the skills look great and I've experienced ZERO lag!
Peter Chen	1	November 11, 2020	P2W trash china game
Thomas Rulon	5	November 11, 2020	The storyline is pretty decent thus far. Graphics are awesome. This isn't your average tachs game but is a tachs game nonetheless. I encourage those that are interested to give this game a try.
TFS Cosmic	3	November 11, 2020	It's a good game but after I tried to play it later the app won't open it stays at a white screen any help?
Midnight Howler	5	November 11, 2020	Fun Fun Fun!!!
Thunder Muffn	3	November 11, 2020	Game is alright. Only thing I dont really like is so far it seems the only way to get Genesis tickets is to buy them. And they are what you use to get better units and specific units in the gacha essentially making the game pay-to-win. I'd rate alot better if there were a way to get these without being forced to spend money. Reply to developer: As the game is now there are no ways to get Genesis tickets. Events may come in the future but my rating isn't for the future its for the game now.
Gray angel 444 mix	5	November 11, 2020	the story is actually engaging and very appealing chapters hoping to see more
Corey Holmed	5	November 11, 2020	Very nice graphics and storyline
Trye Fam	5	November 11, 2020	Good game overall
Andres Herrera	5	November 11, 2020	Awesome!!!
Joseph Morelli	4	November 11, 2020	Took a while to go global. Its finally here. Really fun so far. Graphics are great and smooth on my tablet. Good story so far. I don't know which units are the best so I don't know how drop rates are yet. If you like collectors... Give this a shot.
Tim Baker	5	November 11, 2020	Good so far
Alexis Sara	1	November 11, 2020	No Girl protagonist. Sure established characters of myth and history can have their genders changed but the player wanting to be a woman is too wild.
Michael Becker	5	November 11, 2020	Got into the game once but now it won't let me log in anymore. It just gets stuck on the main screen. Each time I tap to enter it tries to login but then doesn't and stays on the main screen. Hard to enjoy a game you can't play. Edit: Issue was quickly resolved and I'm able to play and enjoy the game.
Nicholas Morales	5	November 11, 2020	Awesome
Michael P	4	November 11, 2020	It's fun and looks nice
Nathan Peraza	5	November 11, 2020	Great game i just started but my phone can take the frame so it really good
Victoria Rodriguez	5	November 11, 2020	Love it so far
kid cam101	5	November 11, 2020	Amazing love this game🔥🔥🔥🔥👍👍👍👍
David Duvall	4	November 11, 2020	Great game so far
Jairo Renteria	5	November 11, 2020	awesome game
Timothy Branning	5	November 11, 2020	It's pretty cool atm
Justin Vandewater	1	November 11, 2020	Heros and game play are bland. The wanted me to edit my post sense they responded to my review. I would rate even lower sense they have a paywall for banner summons. They say we will continue optimizing..... this is a global launch we will just get a slow trickel from the parent game. In all this just a sad pathetic money grab from a greedy publisher. Wouldnt waste money if you don't like being number 1 in an empty server.
Kevin Ryan	5	November 11, 2020	very fun
zack hat	5	November 11, 2020	Well...devs quick to respond..servers workin game runs smooth.. Graphics r sweeet..story is nice lets hope it continues.. Pre registration rewards and still after the game didnt work very nice to see it come together..
Sheep Fins	5	November 11, 2020	I like throwing panda bombs. 10/10 The graphics are good. It also seems that you can upgrade any character to max rarity which i like. The special draw only boost the chances of getting a specific character. The normal draw currently has all the characters in it so you dont have to pay anything for it. Also mustache slime, best character.
Jesse Osieczonek	5	November 11, 2020	Great game so far let's see how it goes.
Du za	5	November 11, 2020	amazing game, graphics are nice and the character design is pretty good
Cyclonic Supercell	5	November 11, 2020	Just got into it but awesome so far.
serena180	3	November 11, 2020	I dont like how every popular user name in existance is taken and the game looks great im sure it will b fun but a guy protagonist really dum this game is all girls it should b a female knight protagonist to and the game needs le3sbian love dateing our its another sexcist game give woman the spotlight not guy
ARRDWOLF :-P	5	November 11, 2020	👍
Dark Unknown	5	November 11, 2020	I Really like the game
Russell Schroeder	5	November 11, 2020	Fun 2 play
Dark Soul	2	November 11, 2020	I really don't support gacha games that won't let you reroll or give you a selector ticket at the start. Says a lot about the company.
SypherSeven	1	November 11, 2020	Not willing to invest the time or money. I'm done with RNG. Want my money? Let me purchase what I want when I want it.
Bouya	2	November 11, 2020	Really nice graphics and animations. All of the characters look nice and the gameplay is fine. The big issue is the gacha, there needs to be more ways to earn genesis tickets other than paying or saving for months. It comes off as super scummy and pretty much locks f2p and low spending players out of rate-up banners. Also, there needs to be more info about the summon rates in the game, I've been told there is a pity but there is no proof of one in the game itself.
Corb Allen	5	November 11, 2020	Yay!! The game works very well very good story and game
Gally GGG	2	November 11, 2020	Cheeesy story and kid like music drove me nuts.. Unistalled
Gaming Legend	5	November 11, 2020	So far the game is a good strategy classic game with good story and graphics. Good simple game play mechanics really addictive once you start. I just wished the game revolved more on skill and luck than pay to win. Overall great game except purchases because some people get a leap that others can't because we don't spend money. While we just play to enjoy everything the game has to offer.
Christian Heyes	5	November 11, 2020	Great game so far..
Infinite XP	3	November 11, 2020	Edited: Like I stated before it's a good game, however now that I played for a few hours I've seen a stupid paywall which has two different types of tickets, the Premium ones that you have to purchase or save up your gems in order to get the UP rate banners, or just save up to get the basic gold tickets & pray to rng you'll acquire a SSR. The gameplay is fun, the rates are ok (alot better than Genshins) also the devs should give more for your buck you spend. Overall, I don't like it but whatever
Edward Norris	5	November 11, 2020	Good game
Jamie Strosnider	5	November 11, 2020	Absolutely beautiful game love it it is stunning!
Sanchez Roulhac	5	November 11, 2020	This is cool
Great Zong	3	November 11, 2020	Why must I provide email access in order to play the game? Can't play without it. Big sus.
John Rivera	1	November 11, 2020	"This game is pay to win, 1 star, still gonna play it just wanted to give it a 1 star to be a douche bag. ( the ""free"" 10 pull is set up to give you garbage!"
David Escobedo	5	November 11, 2020	Good game
Houston Stacy	5	November 11, 2020	Great game 👍
JaxDood43	1	November 11, 2020	It's not letting me download, it will sit there and say pending and hasnr downloaded for 17 minutes now Edit: it worked and I will changes stars or leave them the way they are if it isn't great
Steve Illsley	1	November 11, 2020	Just the newest waifu gatcha auto game. Pass.
StonyGoose 5513	5	November 11, 2020	I like the characters and the little cut scene before attack
jerney mendiola	1	November 11, 2020	Meh ok. Wish there wasnt a paid banner where only people who pay can go on. Nothing has changed from the version before global. The reason they lost so many players. Idk how long im gonna play this. Needs to be fixed Asap.
Giovanni Strolla	4	November 11, 2020	So far so good...
mudding maythem97	5	November 11, 2020	So far a great game I'm enjoying it
Alyssa Diaz	5	November 11, 2020	Great game so far, hope they continue with it.
Jesse Hopper	5	November 11, 2020	I really like the game, but the font is so small, it is hard to read and I may not continue playing due to that.
Kendrick Johnson Jr	5	November 11, 2020	Absolutely love the character design and combat system. Voice overs are great, story very entertaining so far. Disappointed that all the feature character summon banners are paid currency only, so far my only issue but everything else is good so far. I look forward to watch this game develop.
Khrix Azreal	1	November 11, 2020	WORST GACHA!! HahaXd.. the rating is Fake..!! Wow the specific hero banner are only For P2P players...thats Outrageous..# Zlong games you cant even offer what Basic gacha does. Thats a sh##te.. A game where you will never obtain your desire hero!! Another Crashgrab game in playstore.. Thanks for the hype.. anyway.. Dont even deserve 2 FOO*****king ⭐⭐!! .
CloveRBitz	1	November 11, 2020	LOL locking good units behind paywall,, i dont know why you are very hostile to the F2P, you only think the revenue not the players. Disappointed..
Mehak Bajwa	5	November 11, 2020	Awesome game😊😊
Dominique Edwards	5	November 11, 2020	I've just started the game. So I'm going to hold off on giving an in-depth review.
Eric 13 Martin 14	5	November 11, 2020	So far i like it its really fun has great graphics and easy to play itd be even better if there was a english dub in the game so we can listen to it while reading it
lul papaya	5	November 11, 2020	i like it a lot. i dont mind the summonings, they're quite a fair rate when it comes to the summoning of the gacha tiers. the storyline is interesting and all the characters dynamic and have really cool and interesting designs. i havent seen a reason to purchase anything from this game other than to get some limited character which i dont mind at all, plus they're sold at a really fair price which surprised me a lot. it's not perfect but i like it a lot.
Jeremy Zych	5	November 11, 2020	Fun way to pass the time so far
sai playz	5	November 11, 2020	Good game I'm the best player in the world right now I'm a God and its a good game
Mr. Mattrocity	5	November 11, 2020	Fixed bug, much better!
James Rose Jr	5	November 11, 2020	"Having problems connecting to servers.😔 Will change rating once I am able to play it.""Edit"" Finally able to play it and I must say I'm enjoying the storyline, graphics and the characters!! 😎"
Lightning 405	5	November 11, 2020	Can't play till tomorrow but looks good
Rayhart	3	November 11, 2020	Very cool game and with great gameplay but all the QoL have to be paid to unlock unlike most other game. There is so much potential for this game but the company haven't learn a thing from Langrisser
Quietlife	5	November 11, 2020	i have no complaints
DizzyD3zi Boo	5	November 11, 2020	Sweet
Spooby Stark	4	November 11, 2020	Graphics and animations are pretty clean and crisp. Characters are cool, although I only have a few starter characters. I'll review this more as I play it more.
Slinkier The Disconnected	2	November 11, 2020	Seem good but the start is already bad in my opinion. The graphics is really good, gameplay idk just saw the tutorial (a bit annoying). The problem is about gacha. Out of 7 only 3 are free, other you need to buy the tickets for try them. I can understand 1/2 premium only for who pay, but instead the majority are only for who pay. Smell too much as money grab game.
Im Chillzzz	5	November 11, 2020	This game is super fun and the graphics are pretty great for a moble game that only takes 1gb
John Barry	5	November 11, 2020	So far I love the game. Still getting use to it. The graphics are great animation on the skills are cool. So far so good I think its a good game.
Rick	5	November 11, 2020	I like it, try it for yourself.
Hamza Ait talbe	4	November 11, 2020	The game servers are not running
reimi jahana	4	November 11, 2020	I agree with what a lot of people are saying. So far game seems p2w as it relates to summons but if you build your units they can be good. Story is also pretty good
