Writer	Rate	Date	Contents
tefo sdi	5	November 5, 2020	Good
Akhilesh Singh	2	November 5, 2020	Good
Axel Nilsson	1	November 5, 2020	Ads after every death
prabha Selvaraj	5	November 5, 2020	Super game for time pass
Kabunse Chama	2	November 5, 2020	To lagy
SMILE AND STUDY	1	November 5, 2020	It is not in my control I hate this game
Batgerel Togtoh	4	November 5, 2020	Ok
Tiayannah Asanbe	1	November 5, 2020	The game is so fun but there is like a 30 second ad in between every level! It just ruins the experience and fun! Don't download you will hate it!
Hayden Gwartney	4	November 5, 2020	Very fun
Glory Charles Nthara	1	November 5, 2020	Vaupuba chabe
Gayathri Vijayan	5	November 5, 2020	❤️❤️❤️
ADWAITH er	5	November 5, 2020	I LIKE THIS
gaqa gaming wwzy	3	November 5, 2020	Cool game bro
Shabir Fatima	2	November 5, 2020	😀😁😂🤣😃😄😆😉😊😋😎😍😘😷🤒🤕🤑😴🤢🤧
Nor Arishun	1	November 6, 2020	I can not dowload
Sohaib Ahmed	5	November 6, 2020	SohaibAhmed
Sridevi Siddharaju	1	November 6, 2020	This is nonas game
priyanka giri	5	November 6, 2020	Okkk
Subhash Chander	5	November 6, 2020	I install this game now i play my name is komal princess of my dad 👸🏼👨‍✈️my dad is a police officer in majitha
vinod suman	5	November 6, 2020	Best gamr
charles	5	November 6, 2020	Very addictive game and fun
Faizan Malik	5	November 6, 2020	Good game such a good game
mariya nagarwala	1	November 6, 2020	it's not a interesting game I just hate this game it starts hanging all and dam you fall in the water
Roj Duski	5	November 6, 2020	Porn Pro
Nabachandra Salam	5	November 6, 2020	Nc game
Simeon Pierre	5	November 6, 2020	Soon fun
Suresh Tamang	1	November 6, 2020	impress
Gino Riff	1	November 6, 2020	This is just trash. You can make better games then this
Clancy Clawson	4	November 6, 2020	I admit it feels like those cheap games with as little effort as possible, and I'm subtly creeped out by the silence, but I have to give it to them, this one's actually unique. Premise is simple, yet actually challenging in a way I'd like to see polished by someone more capable. Control is slightly rough, perhaps if turning was based on where you touch, instead of based on the gesture you make, it would be smoother, devs. It has the common issue of too many ads but that's par for this dev.
Anuj kapil55	5	November 6, 2020	Good night
pu editing	5	November 6, 2020	Nice apk
John Boulier	1	November 6, 2020	Game is way to easy..after winning 15 in a row I unistalled
MHD GDZ	5	November 6, 2020	It's so cool 😎
Milind Bhalerao	5	November 6, 2020	Dr
Lewis Sadler	5	November 6, 2020	I love this game it is so fun and energetic And so good
guitar player Ramirez	1	November 6, 2020	Not a good game at all. The remote to move does not make sence you move to the right and it takes you the left. And it laggs so much . 👎🏼👎🏼
Joslyn B	1	November 6, 2020	This is unfair controls you can't even control this
SAM	5	November 6, 2020	Good
Joseph Negele	1	November 6, 2020	Too many ads
sakshi srivastav sakshi	1	November 6, 2020	Very poor aap
mo hus	1	November 6, 2020	Uninstalled after playing it the first time. Horrible controls. Voodoo If you're gonna post annoying and long ads. Make sure they atleast work and are not buggy. Games by you guys feel like shopping at Dollar tree.
Roberto Alvarez	1	November 6, 2020	There is an ad after every level you pass. It give you an option to watch an ad or just collect your gold without a multiplier. But makes you watch an ad anyways.
Amir Dezfoulian	5	November 6, 2020	Good fun...not much to say about it
Grace Dudman-West	2	November 6, 2020	Am I the only one who thinks the controls are bad. There are way too many ads and bad graphics. I know this review is very short but I just wanted to tell you a bit about my small experience.
Desmond sterling	2	November 6, 2020	It is ok not the best i willl keep it but the ads suck
Mehran Barghbani	1	November 6, 2020	Hello I installed the game But it is very crooked and spoiled, please take care If you want me to send you a photo Please play the game online so we can play with our friends
Steve Lipovich	1	November 6, 2020	Trash game. Not only ad galore, it also is very laggy
Original Tomkat	1	November 6, 2020	Has great potential. However, a 15+ second AD after EVERY less than 10 second LEVEL is a bit much. More time WATCHING ADS than playing the game.
KRISHNA CHAHAR	1	November 6, 2020	Game is Nice But It will slow down your phone like hell.. Also it is laggy... So 1 *
سعید خدامی سعیدی	5	November 6, 2020	Well played
Xander Long	5	November 6, 2020	it's fun bc of the competition
Small Fry	5	November 6, 2020	Fancy
Sonise Benedict	5	November 6, 2020	This is a super fun game
Mario Perić	1	November 6, 2020	Bad control. Constant ads.
Kellie Koehler	5	November 6, 2020	I really love this app! I won 3 times! Dont listen to the 1 star Reviews. Please download this app you will thank me later!
Rianito Ruiz	1	November 6, 2020	Nea
GC_Derp	1	November 6, 2020	All these games people make ads aftrr every level and offer us to buy no ads like we are going to keep the game likr please just give us a break
Atomic Stray	1	November 6, 2020	Laggy
Mawisa khawlhring	1	November 6, 2020	Bad game
Thomas Gallegos	1	November 6, 2020	Adds
Jordan Kohlman	1	November 6, 2020	A 30 second ad after every run is ridiculous and turned me off way to much for an already average game
Jessie Mcfadden	5	November 6, 2020	Very fun
MRS DEVIL	3	November 6, 2020	I love this game and all but there is so many adds. After every round,ADD,ADD,ADD,ADD,ADD, it so annoying if you are not an add lover dont recommend. If you love adds great this game is for you!
Keysy Esteban	5	November 6, 2020	I like the game it's fun go download it now whoever made this game is the best person
Jay Hutton	4	November 6, 2020	Fun
Jake Horsey	3	November 6, 2020	It's a fun game and there is not as many ads. The contrals are annoying cause you do not have control of your character. after a day or two it gets kinda boring.
alireza mehrpooya	5	November 6, 2020	Good
Juanita Flores Cabrera	5	November 6, 2020	I love this game tis so fun and i move so fast
unicorn Squad law	1	November 6, 2020	The adds are coming so fast pls do something with it 👎
Diego Mora	1	November 6, 2020	A game about watching Ads
Hope Armstrong	1	November 6, 2020	Terrible...so glitchy and the conyrols are overly sensitive. It's a brain cell killer. A horrible time waster.
Matthew Ricker	1	November 6, 2020	Not even any sound.
Isaac Henderson	5	November 6, 2020	To easy
Stephanie Blackley	5	November 6, 2020	❤️🧡💛💚💙💜💖🤗🤗🤗🤗
Adore_Twixser	5	November 6, 2020	Good game just needs to be online and more stable but the game content it self is good
Alicia Murillo	4	November 6, 2020	well a dour star because i cant comtroll ot so well and i keep triying to but i cant
Xavianna Rawlings	5	November 6, 2020	I love it
xXThunderHDXx Thunder	1	November 6, 2020	Sucks
Lena Lee	1	November 6, 2020	There is literally no way to play without Ads seriously you should really stop this i hate these ads seriously I hate them it's impossible to play without any ad so annoying you learned the lesson now don't put a bunch of ads in your games it sucks etc don't ask me to buy a game that has adds seriously man you have to stop this! I'm going to get some other games that has lesser ads! (Luckily I found some) have a good day with your other games that don't have ads! ;)
Jen Lister	5	November 6, 2020	This game is good I love it so much takes for Mackie this game 💜💜💜💜💜💙💙💙💙❤❤❤❤❤❤💛💛💛💛💛🧡🧡🧡🧡🧡🧡💚💚💚💚💚🤩🤩🤩🥰🥰🥰😍😍😍😍😘😘😘😘
ronhel d Sagun	5	November 6, 2020	cool
Amanda Thomas	4	November 6, 2020	cool
Christina Fenlaw	1	November 6, 2020	I tried to play 3 times but could never control the direction my guy ran so always lost. This is not the case with many other games I've played so i don't think this one is user error.. Definitely not fun
Leshai Guerra	5	November 6, 2020	🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🤰🤴👸👸🤴👸🤴👸🤴👸🤴👸🤴👸🤴👸🤴👸👸🤴👸👸🤴🤴👸👸🤴👸👸🤴👸🤴🤴👸
Tiffany Postalwait	1	November 6, 2020	No no no it sucks
Rachana Neupane	5	November 6, 2020	Wa wa
Yese, nia Rivas	5	November 6, 2020	Ayyyyyyyyyyyyyyyyyyyyyyyyy yyyyyyyyyyyyyyyyyyy yyyyyyyyyyyyyyyyyyy
Kim	1	November 6, 2020	Controls are pathetic
Ishan Kalakheti	3	November 6, 2020	It's an very interesting game.
Champok Tarafder	5	November 6, 2020	This is a very good app
Daniyal Ghasemi Puor	5	November 6, 2020	Such a wow
Brandon Johnson	5	November 6, 2020	It's a fun game to play
Kartik Chapekar	5	November 6, 2020	Very interesting game 👍😁 .. .
Khizar Khurram	4	November 6, 2020	Uturn
Lildayx	4	November 6, 2020	Is a good game but if u put it online with real people it will be better
Shua Sana	5	November 6, 2020	I really like this game and you can get money. And this is the first time playing this game and I won the first time. And whoever made this game I want to say thank you for making the game. That's all I wanted to say thank you and God bless you.
Rangaswamy Rangaswamy	2	November 6, 2020	Gud but ad will disturb more in middle of the game
هيال الضبياني	5	November 6, 2020	Cool
Gopi sandhu gopi3630	5	November 6, 2020	Nice game
Ankita Kumari	1	November 6, 2020	Worst game I have ever seen
FirePS RuneScape Private Server	1	November 6, 2020	Too many adds
Shankar Balan	1	November 6, 2020	always stucking
Moe Tow	5	November 6, 2020	LOVE THIS GAME♡♡♡♡♡♡♡♡
Varsha vora	5	November 6, 2020	My experience was really bad because this game pauses in between and we are then not able to control our charecter other are smooth like we can control our charecter and i wasn,t able to control the charecter it goes really fast and again and again it pauses in between so my experience was not nice
skylla sentaus	5	November 6, 2020	This is the best app I'm actually downloading it and I like it
miraroad jilani	4	November 6, 2020	Its really hard and challenging
Cody Hutchison	1	November 6, 2020	Unplayable lag fest.
Ayesha Iqbal	5	November 6, 2020	Fun Lol Haha
Ajanique	4	November 6, 2020	Ok. 🔇👌🏽
Suyashkar Thapa	5	November 6, 2020	Nice
Isaac Thakur	1	November 6, 2020	Stupid boring ads
Killer boogie	5	November 6, 2020	Really phenomenal game having had no problems with it just a lot of ads
himanshu pandey	5	November 6, 2020	Nice game
Silvia Ceballos	1	November 6, 2020	It is way to laggy to play it and it is boring
Poopie Head	1	November 6, 2020	This game is trash don't get it plz don't save your storage and don't get this Trash game😡😡😡😡😡😡😡😡😡😡😡😡😡the creators are 🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡go back to the circus 🤡🤡🤡🤡🤡 listen to me and don't get this game plz
Eldor Xudoyqulov	2	November 6, 2020	I think it has a something wrong. I get 100 000+ coins from watching one ad . I don't have hack version. But the game is fun.
Tasman Randell	1	November 6, 2020	"Whats the point in saying ""watch a video to get 3x coins"" if a video is going to play anyway if u chose not too"
chandrakumar chandrakumar	1	November 6, 2020	Not not nice i hate it 🤬🤬😡😡☹
Priyambada Mohapatra	5	November 6, 2020	It is a very very very very very very very very good game
Waseem Pasha	4	November 6, 2020	It's good but about character its cost lot for legendary and rare ...
Shailesh Aryal	5	November 6, 2020	good
Manish Pardeshi	4	November 6, 2020	Nice
kuldeep 01 gaming	5	November 6, 2020	Nice game i love this game
Harsh yadav	4	November 6, 2020	Its a good game but many add
Isabel Johnson	1	November 6, 2020	So glitchy didn't like it at all
Jaysie Johnson	1	November 6, 2020	WORST game I've ever played. The controls are so hard it's IMPOSSIBLE to play unless you stick on track. I thought it be a fun game to play and I love voodoo games but... This game isn't really fun and I don't recommend it.
Tyler Campbell	1	November 6, 2020	Do not give me the option to watch an ad for points, then force me to watch an ad when I decline for no points. That is foul
Krystal Ross	1	November 6, 2020	Game is to easy nothing to work on ungrading and u only play bots. Hope this game will go online.
Alex Goodwin	1	November 6, 2020	Just as I first opened the app this glitchy screen comes up and is glitching nonstop. It's a shame I was really looking forward to trying it.
Factorial man	1	November 6, 2020	world bakwas game
Parikshit Dinkar	5	November 6, 2020	Nice
Satish Kumar	5	November 6, 2020	Pp
Karan Goyal	1	November 6, 2020	Asks u for a lot of permissions to access your data. Seems unsafe.
Sanjay Kumar	5	November 6, 2020	So you are boy
Thabang Lerothodi	2	November 6, 2020	The concept of the game is good but it's too easy it's fun for the first 3 games then I just get bored Atleast add a online feature to make it more interesting and competitive
Rudyar Mulyawan	1	November 6, 2020	Too much lag, i use 4GB RAM
Kajal Gupta	3	November 6, 2020	Nice game
goutam roy	5	November 6, 2020	Good
MD farhan Wasim	5	November 6, 2020	Fiza
Ishita Jain	5	November 6, 2020	I just love this game 🎅👩👩👩👩💪
Antonis Papasavva	1	November 6, 2020	Nice game, full of ads.
Kaan Akak	1	November 6, 2020	Not good with my device. Some lags and not smooth
Tanweer Ara	5	November 6, 2020	Lovely game
cheska lumba	5	November 6, 2020	cool
Asha A	4	November 6, 2020	It is good wt
Fatim Fayid	5	November 6, 2020	Very good
Rebecca King	1	November 6, 2020	This game has too many ads, is super laggy and is insanely unfair, like what?
Uma Devi	1	November 6, 2020	Nice
Yilsee YT	4	November 6, 2020	Good
john soban	5	November 6, 2020	Super
Maddy S	2	November 6, 2020	Its not that good of a game its very laggy.
Deni Kola	1	November 6, 2020	🖕🖕🤮
C S Charan	5	November 6, 2020	Wow! That was fun. One idea, well executed in design and gameplay is all it takes! Just installed. Will update how it is leaping forward! Thnx!
Zachary Allgood	1	November 6, 2020	These are one of the those crappy games where every time you finish the game you have to watch a 30 second ad or a 15-second ad and you cannot skip. All of that makes the game not fun because the game is over in less than 30 seconds sitting here to watch a 30-second ad.
yasnil Thapa gamer	5	November 6, 2020	Entrest game
Asad khansahab	5	November 6, 2020	Super 👌
Nick Garcia	5	November 6, 2020	Gud gam
Gaming World	3	November 6, 2020	Good
Desariee Lee	5	November 6, 2020	Good
Islam Naas	5	November 6, 2020	Manifique
Lord Gong	3	November 6, 2020	It a ok time waster but little else right now got every skin in under 5 hours. Filled to the brim with ads
Kiran Kabera	1	November 6, 2020	Mahee
yashi the Helper	5	November 6, 2020	This is my favrouite game ever end😍😍😍
Sarvesh Walawalkar	4	November 6, 2020	Best tp game
MYQZYZ	1	November 6, 2020	DONT GET IT
king_ husii	1	November 6, 2020	The game lags extremely even on my 2gb ram phone its terrible.i cant even play a full game without it getting stuck
Kamalakanta Behera	5	November 6, 2020	Very nice game my favourite game thanks
Norman Walsh	1	November 6, 2020	Played two round coming in first place both times got hit with advertising that said 30 seconds but was clearly longer. They I went back to Google Play noticed developer Voodoo known better as TOXIC company. This studio over does advertising in every game sucking the fun out of games they develop. Ignorant developers don't listen as it's clear they are greedy.
BIGPAPI _yt	1	November 6, 2020	This game sucks
Super Mars	5	November 7, 2020	Best
Owen McConnell	5	November 7, 2020	Please add more content and some IAP I will be your whale you awful people.
Sierra Sullivan	3	November 7, 2020	All you have to do is put on airplane mode for ads not to come up
Henry Jh	5	November 7, 2020	I love this game because this game make me so excited and fun.😍😍😍🤡😀
Anjali phudong	5	November 7, 2020	Nice
TTV_smally _1993	3	November 7, 2020	Quite good I rate it 3 but too many adds
Dene H	1	November 7, 2020	Adware trash.
Kevon Moon	4	November 7, 2020	It was laging but its fun
Lou Rivera	4	November 7, 2020	Not a bad game. But hard to imagine you're playing with live folks. It is a bit hard to turn the player on tight turns but it's a good game.
Vidanshi Prajapati	5	November 7, 2020	Nice
bethany mountenay	1	November 7, 2020	I kept getting kicked out of games cuz of the stupid ad on the bottom
Nithish Nk【ツ】	4	November 7, 2020	Full time pass 😊
Allison Reed	5	November 7, 2020	AMAZING
Jahangir Shah	4	November 7, 2020	This game is very amazing
Toby Wright	3	November 7, 2020	Gg but hard
Josiah Hubert	5	November 7, 2020	I love it I'm new to it and I have nothing bad to say about it when I have something bad to say about it I will do it
Big Block	5	November 7, 2020	I like the graphics
Ana Sanchez	5	November 7, 2020	Fun Kkikj
Mone gamer	5	November 7, 2020	Nice
Leslie Smith	5	November 7, 2020	It's ok
amideo kaskile	5	November 7, 2020	Thank you
Sergio Monarrez	5	November 7, 2020	Fun game!
Headie Beaver	5	November 7, 2020	This games is like so cool I like it. Very cool.
Oh Zai	1	November 7, 2020	This isn't a game, this is a scam. Ad after every round.
mio the hedgehog	1	November 7, 2020	To many ads and boring
Xavier Alexander	5	November 7, 2020	A really fun game to play
Denis Secondname	1	November 7, 2020	Ads hell
Ryan Mccluskey	1	November 7, 2020	Sooooooooo many ads.
Coraline Mason	1	November 7, 2020	The cantrols where so bad i
Penny Colleen Foster	4	November 7, 2020	Fun game
Jeffrey Seelig	1	November 7, 2020	Too Many Ads! Even after the first round, we are barraged with garbage ads. Developers of this game are idiots and can't figure out how to make the game enjoyable without ads!
Nicholas Ballard	1	November 7, 2020	Glitch in game let me unlock all skins in like 5 minutes
Aray Siles	1	November 7, 2020	Horrible Te obliga a ir paginas de abuncios mientras juegas De lo peor Vuelve lento a tu celular
Lionel Kashila	5	November 7, 2020	I never had so much fun with this game
ejsocool	3	November 7, 2020	Its fun just a little boring definitely play this game if your really bored
abi sample	1	November 7, 2020	Laggy and full of ads
Antonio Camacho	5	November 7, 2020	Super funny
Bri Sunflower	5	November 7, 2020	Really fun online and off line and good because if you have cousins like me they like to play it on my phone
bray	1	November 7, 2020	Trash game ad after every single level
Petrina Dillon	5	November 7, 2020	I love this game!
Briana Carlin-Romo	2	November 7, 2020	Very laggy and hard to direct for me when i swipe right it goes left and it's very annoying dealing with the problem.
ياسر محمد هاني	5	November 7, 2020	لعبه مكسكسه
Adventure Forward	1	November 7, 2020	Ads every 5 seconds
Dani Vi	1	November 7, 2020	Unreal full of ads
Gloria Carrillo	5	November 7, 2020	Awesome game
Chukwu Nnachi	3	November 7, 2020	Pretty good game
OOF ZOMBIEKID	1	November 7, 2020	Whys there people from tiktok including me (@oof._.is._.nothing._)
Alexander Hoppie	2	November 7, 2020	Gameplay is smooth, needs work on the being able to customize your character. Last but not least, when finishing a run and are given the option for x3 rewards by watching an AD with no skips until its done, does NOT actually triple your earnings from the said run. I was at 28.3k and tripled 4.5k, when I should have been at 41.8k I was at 31.8k
Kendall Eric	1	November 7, 2020	I give this because it wont let me downloud it boring
Chasity Walker	5	November 7, 2020	Im enjoying this game even with a ad after ever level. Its really enjoyable love playing against other people. Kiddie cul-de-sac approves we love love this game like and subscribe
Jay Tre	5	November 7, 2020	It's exciting
Sandra Ferguson	5	November 7, 2020	Get better quality character and thats it
sheela Kumari	5	November 7, 2020	Kaushik
Turtle lvj	5	November 7, 2020	Fun
Jason Baillargeon	1	November 7, 2020	The game is consistently too easy and has more ad time than playing time.
Dhansay Ghritlahare	5	November 7, 2020	Good how was your 6ykc s
Ezekiel Santos	5	November 7, 2020	If you download this game and just download it you are going to be a pro and you're going to like it best game
Charles Birdsong	5	November 7, 2020	I like
Christopher Williams	4	November 7, 2020	Its super good,im a gamer and i love games like this i just wish thid was in pc but other than that the game runs smooth and i love the way when your mats gk oit you jump and that helps me out alot everybody should play it
Bubbless	2	November 7, 2020	This game is ok they have way too ads and when I wanna swipe the screen its laggy
Kanapar Yadav	5	November 7, 2020	Alokgigi
Nurul Izyan Khairul Azma	5	November 7, 2020	I'm so happy to this video games very nice and good you have to download this game
Kraig Kruul	2	November 7, 2020	Good concept. If it actually ran at the rate your phone could function itd be entertaining. All in all two stars. Garbage functions.
Ezikiel Sacdalan	5	November 7, 2020	This game is fun and every player is not a not
Nirmala Meena	5	November 7, 2020	O my god very nice game
AnonymouXX	3	November 7, 2020	It's fun but... A bit laggy on my Pixel XL (the same device tht runs graphically high games)
wolf ninja	5	November 7, 2020	Is is so so fun
Sudharsanan Dhanapal	5	November 7, 2020	Nice but in graphics is not good ads also not more
Bryant Davis	5	November 7, 2020	Good
Sawyer Shisler	5	November 7, 2020	Fun
Evolving Qi	5	November 7, 2020	It is a very good game love it whoever made it did a great I can get the most expensive coins to
Ahmadsulaiman Rashidi420	5	November 7, 2020	Good nice
Stephanie R	5	November 7, 2020	Love it get it now
Vinod Rathod	3	November 7, 2020	very bad game my first game and it lack in my 2gb android mobile very foolish i will give 5 star if you solve this problem 🙄🙄🙄🙄🙄
Weird Gaming	4	November 7, 2020	Good 👍
Walter Moryan	5	November 7, 2020	Amazing
ramprabesh singh	1	November 7, 2020	Anishantbabuaanji
Santos Bk	5	November 7, 2020	GOOD game
Dimple Jindal	5	November 7, 2020	Wow
Adam Potts	1	November 7, 2020	Full of adverts
James Beal	3	November 7, 2020	Fun for a day, got every skin and now cant spend my earning! Done in 2 hours tops!
Joel Anaya	1	November 7, 2020	The game has to much adds
puja agarwal	5	November 7, 2020	Best ever
Mitali Deb	5	November 7, 2020	Very good app
Chittesh and Naveen Friends Channel Gaming	5	November 7, 2020	Good
Sachin Pusadkar	1	November 7, 2020	Ads ads ads
Dhruv H. The Cool One	4	November 7, 2020	Creators PLEASE PLEASE Increase The Graphics. Otherwise I Have No Complaint.
Constantino Bunao	5	November 7, 2020	This game so fun
VITTOBAI A M	1	November 7, 2020	This game is nice but it is sticking ☹️☹️☹️
Darren Fish McFish Flynn	1	November 7, 2020	Ads after every level is an instant 1 star for me, as well as instant uninstall.
GTLbart 362	2	November 7, 2020	It's a good game but I have a low end device and it's super laggy for me. It may not be for other users but like I said I have a low end device
Samarth Shrivastava	1	November 7, 2020	It's very very very very much bad game moving is very bad so I can not like the game 🐨🐰
Pk Choudhary	5	November 7, 2020	Pk Choudhary Nice game
Saumya Sahu	5	November 7, 2020	This game is very very too much good because this game is many levels and names are very improved and am very proud of this game
David Cox	1	November 7, 2020	The movement system in this game is terrible. When I turn to try and collect slaps of wood/logs it always throws me in the water because the character doesnt turn fast enough.
sunita shrestha	5	November 7, 2020	Pepsi lfl o kxlcjg xc and its chief operating officer 3AM is the 42year company owned company of a group of companies and the leader
D.R Jones	5	November 7, 2020	Everyone saying this game is laggy isn't the game's fault having a device to keep up with it help overall great game highly recommend and an excellent time pass
manav bhalerao	5	November 7, 2020	Nice is this game
Bong Nuk	5	November 7, 2020	បងហ្គេមនឹងល្អសម្រាបញុម🙏🙏🙏🙏
Raouf Junior	5	November 7, 2020	Addictive !!!
FRIENDS FOREVER	5	November 7, 2020	Nice game
Moch Hub	1	November 7, 2020	I downloaded this game just to give a review and telling you that VOODOO sucks ass and is the worst game company that ever existed. Delete yourself, i'm sick of your games.
Isaran Rai	5	November 7, 2020	It was very good but some people didn't like it and it still fun... l am zoya,
Абдулла مافيا	5	November 7, 2020	fun to play
Patrick Mugenyu	1	November 7, 2020	Poor. Game lags.
kelzang Jamtsho	5	November 7, 2020	This game sucks
مرتضی جعفرزاده	5	November 7, 2020	ننن
Today gaming	1	November 7, 2020	I it is a very dirty game in the world
GURKARAN SINGH	1	November 7, 2020	Game is from China
Neha Koladiya	5	November 7, 2020	ઑધ
mohamed ahmed	5	November 7, 2020	Wooo
David Hennric Jr.	5	November 7, 2020	Very fun game
Dayane Segundo	1	November 7, 2020	Horrible very glitchy would rather listen to country than this bad graphics very skippy too much ads 🙄
Mario Robe	2	November 7, 2020	Fun concept but gets very boring and very repetitive after a while, it feels almost too easy to play. Also why isn't there multiplayer? It would make the game so much better.
David Bucciarelli	5	November 7, 2020	Unlocked everyone. Not sure what to do with game generated coins now
Kanchan Thapa	5	November 7, 2020	Nice games
jade mcshane	2	November 7, 2020	I like
Neelam Faisal	3	November 7, 2020	But
Gopika Madhu	5	November 7, 2020	Introducing me
Obi Wan Kenobi	5	November 7, 2020	Coooool
Kevin Osorio Delgado	1	November 7, 2020	Mucha publicidad
Sunil Chauhan	5	November 7, 2020	😀😀😀😀😀
Ramanayella1977 Ramanayella1977	5	November 7, 2020	Good
Sharon Shiba	2	November 7, 2020	Gud
Rachel Fowler	1	November 7, 2020	Hate it Should it even get a rating? Sooooo laggy ad every level
Shehzadi Nayra	5	November 7, 2020	🥰😘🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰
Jon Metcalf	5	November 8, 2020	The game is fun and i see all of these 1 star reveiws and all i have to say is turn on airplane mode there is no adds
Anwuli Uwak	5	November 8, 2020	Berry goo has a very strong and very soon to do with me and I have bn trying and 4666 feet hurts like a little bit too 4late 4but the kids hair and braid it was sent back from the mail.can and the rest is the reason why the money is so scared of it was a problem I had to buy 3 p
Sameera Pathum	5	November 8, 2020	Super
Ava Robinson	4	November 8, 2020	This is a fun game but it is hard to beat. If you are looking for a hard game this is for you if not you might want to install a different game.
Kunjal Sompura	3	November 8, 2020	I thank I am the worst game ever I don't like that it is very worst came you are going to see the video I have it is it to like it otherwise you can use frag 2020 that is very good game if it is easy review boys so this is very helpful to thank ok so loves firing and also ok so download frag 2020I can I am the most game ever I don't like a that decided first came your brain to see the video I have this like it otherwise you can look rack 2020 download now
Lakresha Lucas	5	November 8, 2020	GG neil
SOURAV SAHOO	5	November 8, 2020	Good
Gautam Malviya	1	November 8, 2020	control are not good
Gudu Sahote	5	November 8, 2020	Nice game
Marcel Morgan	5	November 8, 2020	I love it
that guy	5	November 8, 2020	really fun game, and the reason it got 5 star instead of 4 star is cuz it allowed me to type 300+ letters for my name to be used. it tells a full story lol
carol carter	5	November 8, 2020	It's a great game but very frustrating, but I love it
Cassias Scarlett	5	November 8, 2020	Kill me know
Tahirafzal474 afzal	3	November 8, 2020	Azan
ZizzyCake	1	November 8, 2020	I HATE THIS GAME IS SOOOOOOO LAGGING AND IT DOES NOT TURN IN THE WAY U WANT TIBTURN I DONT GET IT I WOULD GIVE THIS GAME A 0 STAR BUT I CANT PLZ FIX THIS GAME!
Courtney Simon	5	November 8, 2020	To good
Geeta Suvarna	2	November 8, 2020	Not that much good
Shalini Singh	5	November 8, 2020	Nice
Tyson Marshall	5	November 8, 2020	How was your interview 🤣🤣😁🧐
Lee Clark	5	November 8, 2020	addicts Are bad
Matthew Knickerbocker	4	November 8, 2020	Great simple additive game. Should make a win/lose counter. I'd like to know how many I win. And make the A.I a little smarter.
Alif Mahmud Saifullah	5	November 8, 2020	Cool game
Shane lynch	3	November 8, 2020	It is cool
anoop singh	5	November 8, 2020	Nice 👍👌
Isaac Iroz	1	November 8, 2020	If you pay for no ads which you have to to enjoy the game, there are still ads. Very annoyed. I want my money back.
Latifah Richardson	5	November 8, 2020	It was hard and it was too fast you no sometimes the hardest games is the funnest game
AZIZA KARIMOVA	5	November 8, 2020	Cool
Niya Eason	5	November 8, 2020	Funny game
Stacy Gargano	5	November 8, 2020	Amazing stuff i like it and think its a good game
Marcos Aris	1	November 8, 2020	The ads kill it!
Moji Man	1	November 8, 2020	The game is so glitchy that you can barely see what you're doing has sometimes the touchscreen controls don't work
Ary awesomeness	1	November 8, 2020	this game has really bad graphics.
Alana Reid	1	November 8, 2020	Very glitchy and turning sucks. Also way to many ads. Would not recommend
Bob Jumbo	1	November 8, 2020	Very fun but ads ruin it
glitter queen	4	November 8, 2020	Very good game sort of hard but u get the hang of it
Arthur Acklin	1	November 8, 2020	Would have been fun, if i want loaded in 4th place eveytime i started a race. Also the ads every 30 sec sucks
Scoops Ropes	1	November 8, 2020	I installed this purely so that i can rate it bad. PLEASE STOP GIVING ME SO MANY OF YOUR ADS.
Chris Rutherford	1	November 8, 2020	Too many commercials. One after every level is way too many.
Diego Carrillo	4	November 8, 2020	This is a good game to pass time I would like to recommend this if board and have no wifi
Debbie Turner	5	November 8, 2020	Good game a couple of ads but overall great👍
Wilmer Ruiz	1	November 8, 2020	Ads after every race and each race is about 10-30 seconds long.
Danielle Groves	5	November 8, 2020	It's a very good game and I just downloaded it and now I'm going to get addicted to it because I love the game thank you who created this game it was very good I love it peace out
Becca G	2	November 8, 2020	It gets to predictable after a while like all these game. I've also noticed that it's a little bit bias towards men's jobs instead of woman's. There are alot more male characters than females and its quite annoying how many times I've wanted another female character but gotten a male. I've unintalled it as it bores me
Ryan Reapers	5	November 8, 2020	😍😍😍😍
Moein sa	4	November 8, 2020	its best but its offline
Kelvin Lee Gray Jr.	5	November 8, 2020	SO COOL
Lisa Robson	1	November 8, 2020	Bad game.... Graphics are a bit simple and I know that it's hard to make games... but seriously I could make a better game on scratch. Also there are ads after every level! Even if you die.... If you're looking for a waste of time then go ahead... press install... sorry if its harsh..
Josh	1	November 8, 2020	Fun but to much ads
Toni Harper	5	November 8, 2020	Toni Harper is the first woman th ever smoked
magic wizzy	1	November 8, 2020	Just an awful, rushed game very laggy and stack pile with ads, games from vodoo never gets old.
david urbick	5	November 8, 2020	Awesome and fun
Ruben Romero	3	November 8, 2020	Would be a lot better if runs were longer, were able to play online, and DEFINITELY adding some type of audio to the game!! Overall, pretty interesting but levels are too short and of course they have ads
liam 7609	4	November 8, 2020	Why would they win with me??
